"object_number","object_name","dimensions","reproduction.path"
"NK1","geldkist","hoogte 40 cm; breedte 74 cm; diepte 40.5 cm","NK_collectie/images_remove_frame/d3981e80-80e1-6568-921d-05f402a16331.jpg"
"NK1","geldkist","hoogte 40 cm; breedte 74 cm; diepte 40.5 cm","NK_collectie/images_remove_frame/425cd86e-f6db-1332-d783-b99401253e3c.jpg"
"NK1","geldkist","hoogte 40 cm; breedte 74 cm; diepte 40.5 cm","NK_collectie/images_remove_frame/27232d9d-5722-a2da-ef86-d194a052f590.jpg"
"NK1","geldkist","hoogte 40 cm; breedte 74 cm; diepte 40.5 cm","NK_collectie/images_remove_frame/87ab94e7-32bb-6a0d-73cb-23538db1c0d2.jpg"
"NK1","geldkist","hoogte 40 cm; breedte 74 cm; diepte 40.5 cm","NK_collectie/images_remove_frame/1f8adc32-9ee5-a6d9-7a5a-eb086144f520.jpg"
"NK1","geldkist","hoogte 40 cm; breedte 74 cm; diepte 40.5 cm","NK_collectie/images_remove_frame/685f6f5c-818d-9899-c025-40e0a0a57aa9.jpg"
"NK1","geldkist","hoogte 40 cm; breedte 74 cm; diepte 40.5 cm","NK_collectie/images_remove_frame/b3990863-2fce-0d8c-b7c3-fc7e3df7743b.jpg"
"NK1","geldkist","hoogte 40 cm; breedte 74 cm; diepte 40.5 cm","NK_collectie/images_remove_frame/6816f545-02b9-1b14-b998-4611567d8b40.jpg"
"NK100","tafel","hoogte 78 cm; diameter 112 cm","NK_collectie/images_remove_frame/eeb1a25c-766f-23ff-1389-46175c6796ab.jpg"
"NK100","tafel","hoogte 78 cm; diameter 112 cm","NK_collectie/images_remove_frame/7b122714-2825-9884-5bb5-d0613cbdf6c5.jpg"
"NK100","tafel","hoogte 78 cm; diameter 112 cm","NK_collectie/images_remove_frame/74afbd00-a337-4c8e-22f4-0eb56c2015a6.jpg"
"NK1000","commode","hoogte 90 cm; breedte 104 cm; diepte 56 cm","NK_collectie/images_remove_frame/d0a0f9af-ca32-0c0d-8fb3-3a3e8f0b1101.jpg"
"NK1000","commode","hoogte 90 cm; breedte 104 cm; diepte 56 cm","NK_collectie/images_remove_frame/4115523a-8dfc-2b12-a47b-2ab380b40000.jpg"
"NK1000","commode","hoogte 90 cm; breedte 104 cm; diepte 56 cm","NK_collectie/images_remove_frame/70dc7e93-760e-703c-8a8b-de5306d99b93.jpg"
"NK1001","commode","hoogte 88.5 cm; breedte 90 cm; ""diepte / diameter"" 49.5 cm","NK_collectie/images_remove_frame/5fec825a-a2a0-53cb-8466-6bb8f3e45ef2.jpg"
"NK1001","commode","hoogte 88.5 cm; breedte 90 cm; ""diepte / diameter"" 49.5 cm","NK_collectie/images_remove_frame/daeb02d6-c765-c929-c763-67647e15bdcb.jpg"
"NK1001","commode","hoogte 88.5 cm; breedte 90 cm; ""diepte / diameter"" 49.5 cm","NK_collectie/images_remove_frame/8fa5c4e9-513b-b1c9-486b-c2b8c14a0e9a.jpg"
"NK1001","commode","hoogte 88.5 cm; breedte 90 cm; ""diepte / diameter"" 49.5 cm","NK_collectie/images_remove_frame/b9b23e7a-b3e3-a666-bd1f-ccda3478caef.jpg"
"NK1003","Mahal-tapijt","hoogte 621 cm; breedte 414 cm","NK_collectie/images_remove_frame/c76a6189-121a-087f-47ce-c27e213f8f61.jpg"
"NK1003","Mahal-tapijt","hoogte 621 cm; breedte 414 cm","NK_collectie/images_remove_frame/cad98e2b-b0b0-df55-4738-ec346d738cb8.jpg"
"NK1003","Mahal-tapijt","hoogte 621 cm; breedte 414 cm","NK_collectie/images_remove_frame/68a31245-a612-96eb-6559-2b673c032435.jpg"
"NK1003","Mahal-tapijt","hoogte 621 cm; breedte 414 cm","NK_collectie/images_remove_frame/c84ad385-ab56-e567-93b5-af4090dedc0f.jpg"
"NK1003","Mahal-tapijt","hoogte 621 cm; breedte 414 cm","NK_collectie/images_remove_frame/7e07c4c3-f5f0-1e15-6bb5-fc460f51d9a9.jpg"
"NK1003","Mahal-tapijt","hoogte 621 cm; breedte 414 cm","NK_collectie/images_remove_frame/a60bc177-3cc1-8eda-e39e-dcc41464ec61.jpg"
"NK1003","Mahal-tapijt","hoogte 621 cm; breedte 414 cm","NK_collectie/images_remove_frame/96375ccb-e982-90e6-ad18-50043c10fa1e.jpg"
