"object_number","object_name","reproduction.path"
"NK101","kabinetkast","NK_collectie/images_remove_frame/945a1eb8-8525-9e13-582e-9256bd27fd9c.jpg"
"NK101","kabinetkast","NK_collectie/images_remove_frame/54dc0c93-3682-50b1-114a-d17d59eec8fb.jpg"
"NK101","kabinetkast","NK_collectie/images_remove_frame/f4f9799b-2137-898e-5437-a3278fcaa445.jpg"
"NK105","kabinetkast","NK_collectie/images_remove_frame/ed5ef667-2d8e-1483-6a35-4dca17042c50.jpg"
"NK105","kabinetkast","NK_collectie/images_remove_frame/1e66b05a-4798-08f7-a69e-827f5ce77c53.jpg"
"NK105","kabinetkast","NK_collectie/images_remove_frame/a1d9e1b1-d9f3-71a3-0c19-bdf22cee9f46.jpg"
"NK105","kabinetkast","NK_collectie/images_remove_frame/2365479e-22c9-e34a-dd38-9af346767b70.jpg"
"NK1074","tapisserie","NK_collectie/images_remove_frame/0b39b387-bd05-fbc5-066c-5f01dab2396c.jpg"
"NK1074","tapisserie","NK_collectie/images_remove_frame/4277bdd6-fbb7-cd7a-6378-f4d72c6dedfa.jpg"
"NK1074","tapisserie","NK_collectie/images_remove_frame/0ab4a85c-2334-b4f7-0711-c5c104d8c08d.jpg"
"NK1074","tapisserie","NK_collectie/images_remove_frame/798d3469-0684-50b9-6c9b-161adcf27716.jpg"
"NK1075","portière","NK_collectie/images_remove_frame/a19e5af2-0c80-dc2c-479d-6379359cb3b8.jpg"
"NK1079","tapisserie","NK_collectie/images_remove_frame/86b2ef65-201b-17d0-7245-97e897bbebf0.jpg"
"NK1079","tapisserie","NK_collectie/images_remove_frame/015bf4ee-956b-c34c-7851-ccc1d0e3beb5.jpg"
"NK116","porseleinkast","NK_collectie/images_remove_frame/48fdcc1e-1dbd-2dcf-6d01-ba332020fdea.jpg"
"NK116","porseleinkast","NK_collectie/images_remove_frame/bbe3b0d1-ab23-219c-1049-8ad87b0eb55a.jpg"
"NK116","porseleinkast","NK_collectie/images_remove_frame/dcf02714-a4c1-320a-bd13-a546abd904a4.jpg"
"NK116","porseleinkast","NK_collectie/images_remove_frame/fac47890-0d1e-cc95-8704-b013e2771387.jpg"
"NK116","porseleinkast","NK_collectie/images_remove_frame/ea3eb0d3-f734-6693-e3b3-9e2fb3677bd0.jpg"
"NK124","schilderij","NK_collectie/images_remove_frame/1caa649c-ee8d-808c-caa0-e5b078b347e1.jpg"
"NK124","schilderij","NK_collectie/images_remove_frame/a7dfbdf8-372b-a1ec-7635-059d5138390c.jpg"
"NK125","schilderij","NK_collectie/images_remove_frame/f4ea4f89-c7a5-2d76-8f0c-a91ba37dc8f1.jpg"
"NK125","schilderij","NK_collectie/images_remove_frame/e64d5ade-d09c-9b5f-ef68-4a1e84572405.jpg"
"NK126","figuurplastiek","NK_collectie/images_remove_frame/f9804287-c64e-5e57-e56a-452754e7942e.jpg"
"NK126","figuurplastiek","NK_collectie/images_remove_frame/f8cabcdb-802c-f8ec-8cf2-ad10c106ea27.jpg"
"NK127","figuurplastiek","NK_collectie/images_remove_frame/3aabc47a-c41c-aebe-9e02-3f2f71e2aed5.jpg"
"NK127","figuurplastiek","NK_collectie/images_remove_frame/72f69d08-0fc4-5078-67d0-146211948fca.jpg"
"NK127","figuurplastiek","NK_collectie/images_remove_frame/b9b14673-44e3-1ee9-d3cc-07d9ddd4806d.jpg"
"NK127","figuurplastiek","NK_collectie/images_remove_frame/b9bab3a7-2b30-be43-3537-c3fed0f0e268.jpg"
"NK1400","pentekening","NK_collectie/images_remove_frame/37d01ac8-73ed-2683-5db7-e1743f81b6ef.jpg"
"NK1400","pentekening","NK_collectie/images_remove_frame/bf9cb259-7e87-4ad8-d3ee-ea4ffcd0a214.jpg"
"NK1406","schilderij","NK_collectie/images_remove_frame/ab59f3d4-2d19-2c01-a4b9-6fc5d29dbcba.jpg"
"NK1406","schilderij","NK_collectie/images_remove_frame/a9c87b39-f04d-cfaa-4cf3-52a6b4e946c7.jpg"
"NK1406","schilderij","NK_collectie/images_remove_frame/41f7a601-f1ad-88f3-b656-987e74adf52e.jpg"
"NK1406","schilderij","NK_collectie/images_remove_frame/b42dce2c-a820-0313-0fb2-72e9026c9f29.jpg"
"NK1408","schilderij","NK_collectie/images_remove_frame/f353ee94-db38-42d0-a406-f38fd51ec9cb.jpg"
"NK1408","schilderij","NK_collectie/images_remove_frame/303d3d81-f8c7-828e-5ed5-ea1b4abd19fa.jpg"
"NK1408","schilderij","NK_collectie/images_remove_frame/bd3e5fbc-b8af-0deb-57ce-1e09c08a4621.jpg"
"NK1408","schilderij","NK_collectie/images_remove_frame/c26509c9-16d2-a141-c134-bd5c7dd858ba.jpg"
"NK1408","schilderij","NK_collectie/images_remove_frame/c26509c9-16d2-a141-c134-bd5c7dd858ba.jpg"
"NK1409","schilderij","NK_collectie/images_remove_frame/f41c2cdd-00e4-11a6-9d81-81fd51bcfd06.jpg"
"NK1409","schilderij","NK_collectie/images_remove_frame/399925fc-854c-e91b-5860-c163c1e5a5ff.jpg"
"NK1409","schilderij","NK_collectie/images_remove_frame/aa483983-287e-b8bf-1ae3-442547e21277.jpg"
"NK1416","schilderij","NK_collectie/images_remove_frame/38d43666-e9f2-1500-1286-4e58b976af77.jpg"
"NK1416","schilderij","NK_collectie/images_remove_frame/efb5ddea-531f-ebc0-67aa-ea800fd4a5f7.jpg"
"NK1416","schilderij","NK_collectie/images_remove_frame/5757ce31-9ab6-a143-616b-12445aecb98c.jpg"
"NK1416","schilderij","NK_collectie/images_remove_frame/ee32a8d2-c639-f522-a6dd-23f20ebd812c.jpg"
"NK1416","schilderij","NK_collectie/images_remove_frame/ee32a8d2-c639-f522-a6dd-23f20ebd812c.jpg"
"NK1445","schilderij","NK_collectie/images_remove_frame/44a65ccd-acc8-3c32-f667-ef15a0867337.jpg"
"NK1445","schilderij","NK_collectie/images_remove_frame/4900d001-31b1-12cb-9b84-957826f43838.jpg"
"NK1445","schilderij","NK_collectie/images_remove_frame/f2dff14d-8922-c277-5973-29e778d586ca.jpg"
"NK1457","schilderij","NK_collectie/images_remove_frame/d5b506d9-398a-bb97-e90b-3b200a0e8df9.jpg"
"NK1457","schilderij","NK_collectie/images_remove_frame/5e486500-c661-a2de-b85e-2b57e0ea9e22.jpg"
"NK1457","schilderij","NK_collectie/images_remove_frame/a3747cc2-3f1f-8d9a-4ad6-788a404fa592.jpg"
"NK1461","schilderij","NK_collectie/images_remove_frame/8305af35-02b0-613c-233d-7622aea0b73b.jpg"
"NK1461","schilderij","NK_collectie/images_remove_frame/4451baa0-fc8f-fd4e-996c-866e59cd0777.jpg"
"NK1461","schilderij","NK_collectie/images_remove_frame/6c7fe02c-37ce-edb2-9d14-a56d5e744a22.jpg"
"NK1461","schilderij","NK_collectie/images_remove_frame/a8a62bfe-246f-4a63-a504-a79d74e6a7ad.jpg"
"NK1462","schilderij","NK_collectie/images_remove_frame/81ea40df-df67-79bf-9999-9d65722de6fa.jpg"
"NK1462","schilderij","NK_collectie/images_remove_frame/797c1bcb-ebfd-9b11-1c75-218af850d59d.jpg"
"NK1462","schilderij","NK_collectie/images_remove_frame/e4fdd645-023f-b459-5057-98874a454f3b.jpg"
"NK1463","schilderij","NK_collectie/images_remove_frame/ef5a8148-d323-7bd7-1af6-37bdeb31b0b2.jpg"
"NK1463","schilderij","NK_collectie/images_remove_frame/00ede8e1-0ce6-7777-19b5-d29d4288080a.jpg"
"NK1464","schilderij","NK_collectie/images_remove_frame/d1f5c251-ddb2-4527-72c7-54800a97b517.jpg"
"NK1464","schilderij","NK_collectie/images_remove_frame/0410548f-4f70-77f5-f8f1-2cb9ee5aa3c5.jpg"
"NK1464","schilderij","NK_collectie/images_remove_frame/7dc5ac76-6054-1e1d-24b1-e6c1616eb01e.jpg"
"NK1464","schilderij","NK_collectie/images_remove_frame/29e37cab-8184-cad3-4913-4dc083b44493.jpg"
"NK1466","schilderij","NK_collectie/images_remove_frame/de1adc94-42d9-2841-f16e-fe302dd0a0d8.jpg"
"NK1466","schilderij","NK_collectie/images_remove_frame/1729a849-9425-272f-f0d7-67e4e54c2f8b.jpg"
"NK1466","schilderij","NK_collectie/images_remove_frame/f2ae8d3e-1489-251c-d7f9-8cb59173cfd4.jpg"
"NK1466","schilderij","NK_collectie/images_remove_frame/9ca11dac-9e39-08a5-bf17-001d3e246655.jpg"
"NK1467","schilderij","NK_collectie/images_remove_frame/f87ae159-d1aa-359b-c8e6-77061f3cabcd.jpg"
"NK1467","schilderij","NK_collectie/images_remove_frame/3de46413-c7c6-0fcb-64a0-7dba724e793e.jpg"
"NK1467","schilderij","NK_collectie/images_remove_frame/456a6c87-9c59-2628-3ebf-8900e24f4e5f.jpg"
"NK1468","schilderij","NK_collectie/images_remove_frame/00380647-4596-1e72-1c16-28868bf163ca.jpg"
"NK1468","schilderij","NK_collectie/images_remove_frame/8b1f95b4-1e4d-72c2-2479-1b2152a34a0e.jpg"
"NK1468","schilderij","NK_collectie/images_remove_frame/48707d8c-6141-105e-9517-d02b2419db6c.jpg"
"NK1469","schilderij","NK_collectie/images_remove_frame/9d8db6db-32a1-06a5-075d-612f7e843296.jpg"
"NK1469","schilderij","NK_collectie/images_remove_frame/9d9caa34-c62b-9d47-9b17-22a4c322de19.jpg"
"NK1469","schilderij","NK_collectie/images_remove_frame/29283a98-5c19-4cd3-3ff2-21bbd2bf5b59.jpg"
"NK1469","schilderij","NK_collectie/images_remove_frame/081d3202-1464-47c0-7d19-23e1cc9f921a.jpg"
"NK1470","schilderij","NK_collectie/images_remove_frame/5dd72b8e-969e-9d0c-6dd6-4c1488d6b24d.jpg"
"NK1470","schilderij","NK_collectie/images_remove_frame/56af5979-a92a-be41-d6c3-c045e40ea3f5.jpg"
"NK1470","schilderij","NK_collectie/images_remove_frame/31c1307c-c97c-ab14-9923-b5074d975eff.jpg"
"NK1470","schilderij","NK_collectie/images_remove_frame/c999fbdf-c7f3-06f4-8362-7e4152ddbd29.jpg"
"NK1471","schilderij","NK_collectie/images_remove_frame/0f2da32e-6126-90d5-f390-77e60223bafe.jpg"
"NK1471","schilderij","NK_collectie/images_remove_frame/4b837af6-a4d2-3701-de25-1f19d1f1019d.jpg"
"NK1471","schilderij","NK_collectie/images_remove_frame/4b4d7e22-6000-28d5-41ee-28f004be98e0.jpg"
"NK1471","schilderij","NK_collectie/images_remove_frame/669b216f-54cd-e919-9e7c-875b0a860b42.jpg"
"NK1474","schilderij","NK_collectie/images_remove_frame/d941c700-52ac-c428-988b-21dc37adfd12.jpg"
"NK1474","schilderij","NK_collectie/images_remove_frame/4707f52c-1c82-0622-9673-d97ee490347a.jpg"
"NK1474","schilderij","NK_collectie/images_remove_frame/823f2167-fc5e-5101-3f20-2bdbd9473e8f.jpg"
"NK1474","schilderij","NK_collectie/images_remove_frame/e9aeec27-b43c-3efd-e45a-fe744be1f464.jpg"
"NK1474","schilderij","NK_collectie/images_remove_frame/e6572be3-d140-34cc-c407-a5dc57d44bd9.jpg"
"NK1474","schilderij","NK_collectie/images_remove_frame/d861dce3-9612-3a29-fa6b-f9b52e239b8a.jpg"
"NK1474","schilderij","NK_collectie/images_remove_frame/3a1d4e4a-7dd5-d253-35df-3a5fadf1f60e.jpg"
"NK1477","schilderij","NK_collectie/images_remove_frame/717434a0-674a-cbc5-f962-ba38d460583b.jpg"
"NK1477","schilderij","NK_collectie/images_remove_frame/e9e269d5-f388-a345-eda5-2e0aa9be2b65.jpg"
"NK1479","schilderij","NK_collectie/images_remove_frame/283ff5ca-964c-bcef-ae58-237fec4823df.jpg"
"NK1479","schilderij","NK_collectie/images_remove_frame/ea79c8df-197b-6455-69f9-ee9c36544797.jpg"
"NK1479","schilderij","NK_collectie/images_remove_frame/a2ee49ff-79ff-0875-dc20-9965ed4a2605.jpg"
"NK1479","schilderij","NK_collectie/images_remove_frame/681a87c5-61b5-5f51-92b5-9afb351f9adf.jpg"
"NK1479","schilderij","NK_collectie/images_remove_frame/61c4c5d0-229b-b45c-7bc9-c734b78923ba.jpg"
"NK1479","schilderij","NK_collectie/images_remove_frame/7146c7b3-2bd4-8a02-0e06-8dd94371bfc6.jpg"
"NK1479","schilderij","NK_collectie/images_remove_frame/306d048a-e64b-278c-b265-035197e05cce.jpg"
